Abstract,Article Classification
"The worldwide prevalence of chronic kidney disease (CKD) has significantly increased in the past decades. Scientific reports have shown CKD to be an enhancing risk factor for the development of cardiovascular disease (CVD), which is the leading cause of premature death in patients with CKD. Clinical practice guidelines are ambiguous in view of the use of antiplatelet drugs in patients with CKD because patients with moderate-to-severe CKD were often excluded from clinical trials evaluating the efficacy and safety of anticoagulants and antiplatelet agents. In this analysis, we aimed to systematically assess the adverse cardiovascular and bleeding outcomes that were observed with ticagrelor versus clopidogrel use in patients with CKD and cardiovascular disease.",1
"Andexanet alfa is a modified recombinant inactive factor Xa (FXa) designed to reverse FXa inhibitors. ANNEXA-4 (Andexanet Alfa, a Novel Antidote to the Anticoagulation Effects of Factor Xa Inhibitors) was a multicenter, prospective, phase-3b/4, single-group cohort study that evaluated andexanet alfa in patients with acute major bleeding. The results of the final analyses are presented.",1
"The mechanism by which aspirin prevents pre-eclampsia is poorly understood, and its effects on biomarkers throughout pregnancy are unknown. We aimed to investigate the effects of aspirin on mean arterial pressure (MAP) and mean uterine artery pulsatility index (UtA-PI) using repeated measures from women at increased risk of preterm pre-eclampsia.",1
"In this post hoc analysis of the PARAGON-HF (Prospective Comparison of ARNI with ARB Global Outcomes in HFpEF) trial, we evaluated clinical outcomes and responses to sacubitril/valsartan by duration of heart failure (HF) with left ventricular ejection fraction ≥ 45% at initial diagnosis.",1
To develop prediction models for individual patient harm and benefit outcomes in elderly patients with RA and comorbidities treated with chronic low-dose glucocorticoid therapy or placebo.,1
"There is mounting experimental evidence that blocking angiotensin receptor type 1 activity can prevent the occurrence of hypertension in spontaneously hypertensive rats. Studies have proved this strategy via evasive means, such as intracerebrovascular injections, making clinical translation difficult. This study aimed to develop penetratin and transferrin functionalized liposomes as a delivery tool to safely deliver losartan potassium (an angiotensin receptor blocker) to the brain. Penetratin and transferrin functionalized losartan-loaded liposomes were prepared via the post-insertion technique. Losartan-loaded liposomes were cationic, approximately 150 nm in size, entrapping 66.8 ± 1.5% of losartan. All formulations were well tolerated and internalized by primary and cultured cells in 4 h. Further, the ability to deliver losartan potassium across the blood-brain barrier was evaluated in vivo in Wistar Kyoto rats either in solution or when encapsulated within liposomal nanoparticles. Upon intravenous administration, we did not find a detectable amount of losartan in the brain tissue of rats that received free losartan solution. Contrarily, liposome formulations could deliver losartan to the brain, with a brain AUC and mean resident time of 163.304 ± 13.09 and 8.623 h ± 0.66, respectively. In addition, no toxicity was observed in the animals that received the losartan-loaded liposomes.",0
There is little and controversial information about changes in plasma concentrations (PCs) or clinical events during coadministration of antiseizure medications (ASMs) and direct oral anticoagulants (DOACs). We aimed to explore possible determinants of dosage class among DOACs trough PCs when ASMs are co-administered and the relative risks. We also provided some clinical examples of patients' management.,1
"To study the profile, clinical presentation and outcome of hospital stay among patients admitted with warfarin toxicity at the Jigme Dorji Wangchuck National Referral Hospital, Bhutan. This was a cross-sectional study with a review of hospital records of patients admitted between 01 and 2018 and 30 June 2020.",1
"Hidradenitis suppurativa (HS) is a chronic, inflammatory skin condition that has been insufficiently studied in the pediatric population. Timely and effective medical treatments may improve quality of life, mitigate disease burden, and prevent the need for invasive procedural interventions such as surgical excisions. However, there is a paucity of research on the efficacy of medical management strategies for HS in children and adolescents. The aim of this study was to perform a systematic review of the literature on the efficacy and safety of medical treatments for HS in patients <18 years of age. In April 2022, MEDLINE and EMBASE databases were searched for articles on the efficacy of medical treatments for HS in the pediatric population. Between 1984 and 2022, 35 articles (101 patients) met the inclusion criteria. Most patients had Hurley Stage II disease (46.7%, 35/75) followed by Stage I (36%, 27/75), and Stage III (17.3%, 13/75). 100% (23/23) of patients responded to antibiotics, 100% (8/8) to finasteride, 93.9% (31/33) to biologics, 80% (4/5) to oral retinoids, and 50% (6/12) to metformin. Overall, this study demonstrates that medical treatment regimens can improve HS symptoms in pediatric patients, but the extent of improvement is unclear, and the results were largely based on case reports or case series. Prospective studies are warranted to better understand the efficacy and safety of medical treatments for pediatric HS. Clinical trials of HS therapies need to be inclusive of pediatric patients to help define the optimal timing of treatment initiation and guide patient selection.",1
"<i>Listeria monocytogenes</i> is the conditional pathogenic bacteria, and pregnant women are at higher risk of infection due to depressed immunity. Infection with <i>Listeria monocytogenes</i> in twin pregnancy is rare but devastating, which puts forwards a great challenge for clinical management. Here, a 24-year-old woman was diagnosed with twin pregnancy, intrauterine death of one fetus and fever at 29<sup>+4</sup> week of gestation. Two days later, she developed into pericardial effusion, pneumonedema and potential septic shock. The emergent cesarean delivery was performed after anti-shock treatment. One alive and another dead fetus were delivered. Then, she developed postpartum hemorrhage after the surgery. Urgent exploratory laparotomy was conducted at the sites of cesarean section and B-Lynch suture to stop bleeding. The culture of blood and maternal side of both placentas indicated <i>Listeria monocytogenes</i>. Following anti-infection therapy with ampicillin-sulbactam, she recovered well and discharged with negative result of blood bacterial culture and normal inflammatory indicators. The patient was hospitalized for a total of 18 days including 2 days in the intensive care unit (ICU), and the anti-infection treatment was conducted throughout the course. Symptoms of the <i>Listeria monocytogenes</i> infection in pregnancy are non-specific, which should be paid more attention in case of unexplained fever and fetal distress. The blood culture is effective for accurate diagnosis. <i>Listeria monocytogenes</i> infection is associated with poor pregnancy outcomes. Close monitoring of fetal condition, early intervention with antibiotics, timely termination of pregnancy and comprehensive management of complications are essential for better prognosis.",1
Migraine is one of the most common complaints in children. This study aimed to determine the effect of probiotics (KidiLact) on headaches in children aged six to 15 years with migraine treated with sodium valproate.,0
"Metformin can enhance cancer cell chemosensitivity to anticancer drugs. IGF-1R is involved in cancer chemoresistance. The current study aimed to elucidate the role of metformin in osteosarcoma (OS) cell chemosensitivity modulation and identify its underlying mechanism in IGF-1R/miR-610/FEN1 signalling. IGF-1R, miR-610, and FEN1 were aberrantly expressed in OS and participated in apoptosis modulation; this effect was abated by metformin treatment. Luciferase reporter assays confirmed that FEN1 is a direct target of miR-610. Moreover, metformin treatment decreased IGF-1R and FEN1 but elevated miR-610 expression. Metformin sensitised OS cells to cytotoxic agents, while FEN1 overexpression partly compromised metformin's sensitising effects. Furthermore, metformin was observed to enhance adriamycin's effects in a murine xenograft model. Metformin enhanced OS cell sensitivity to cytotoxic agents via the IGF-1R/miR-610/FEN1 signalling axis, highlighting its potential as an adjuvant during chemotherapy.",0
"Obstructive sleep apnea (OSA) is a highly prevalent condition characterized by episodes of partial or complete breath cessation during sleep that induces sleep fragmentation (SF). One of the frequent manifestations of OSA is the presence of excessive daytime sleepiness (EDS) associated with cognitive deficits. Solriamfetol (SOL) and modafinil (MOD) are wake-promoting agents commonly prescribed to improve wakefulness in OSA patients with EDS. This study aimed to assess the effects of SOL and MOD in a murine model of OSA characterized by periodic SF. Male C57Bl/6J mice were exposed to either control sleep (SC) or SF (mimicking OSA) during the light period (06:00 h to 18:00 h) for 4 weeks, which consistently induces sustained excessive sleepiness during the dark phase. Both groups were then randomly assigned to receive once-daily intraperitoneal injections of SOL (200 mg/kg), MOD (200 mg/kg), or vehicle for 1 week while continuing exposures to SF or SC. Sleep/wake activity and sleep propensity were assessed during the dark phase. Novel Object Recognition test, Elevated-Plus Maze Test, and Forced Swim Test were performed before and after treatment. SOL or MOD decreased sleep propensity in SF, but only SOL induced improvements in explicit memory, while MOD exhibited increased anxiety behaviors. Chronic SF, a major hallmark of OSA, induces EDS in young adult mice that is mitigated by both SOL and MOD. SOL, but not MOD, significantly improves SF-induced cognitive deficits. Increased anxiety behaviors are apparent in MOD-treated mice. Further studies aiming to elucidate the beneficial cognitive effects of SOL are warranted.",1
"Persons with toxic gain-of-function variants in the gene encoding apolipoprotein L1 (<i>APOL1</i>) are at greater risk for the development of rapidly progressive, proteinuric nephropathy. Despite the known genetic cause, therapies targeting proteinuric kidney disease in persons with two <i>APOL1</i> variants (G1 or G2) are lacking.",0
The safety of gastric endoscopic submucosal dissection (ESD) in users of a P2Y12 receptor antagonist (P2Y12RA) under current guidelines has not been verified.,1
It is unclear whether patients with different stroke/transient ischemic attack etiologies benefit differently from gene-directed dual antiplatelet therapy. This study explored the efficacy and safety of ticagrelor-aspirin versus clopidogrel-aspirin in transient ischemic attack or minor stroke with different causes in the CHANCE-2 trial (Clopidogrel in High-Risk Patients With Acute Nondisabling Cerebrovascular Events-II).,1
"To compare the efficacy and adverse events of sildenafil monotherapy for benign prostatic hyperplasia (BPH) with its FDA-approved counterpart, tadalafil.",0
"The blood-brain barrier (BBB) protects the brain from toxins but hinders the penetration of neurotherapeutic drugs. Therefore, the blood-to-brain permeability of chemotherapeutics must be carefully evaluated. Here, we aimed to establish a workflow to generate primary cultures of human brain microvascular endothelial cells (BMVECs) to study drug brain permeability and bioavailability. Furthermore, we characterized and validated this BBB model in terms of quantitative expression of junction and drug-transport proteins, and drug permeability. We isolated brain microvessels (MVs) and cultured BMVECs from glioma patient biopsies. Then, we employed targeted LC-MS proteomics for absolute protein quantification and immunostaining to characterize protein localization and radiolabeled drugs to predict drug behavior at the Human BBB. The abundance levels of ABC transporters, junction proteins, and cell markers in the cultured BMVECs were similar to the MVs and correctly localized to the cell membrane. Permeability values (entrance and exit) and efflux ratios tested in vitro using the primary BMVECs were within the expected in vivo values. They correctly reflected the transport mechanism for 20 drugs (carbamazepine, diazepam, imipramine, ketoprofen, paracetamol, propranolol, sulfasalazine, terbutaline, warfarin, cimetidine, ciprofloxacin, digoxin, indinavir, methotrexate, ofloxacin, azidothymidine (AZT), indomethacin, verapamil, quinidine, and prazosin). We established a human primary in vitro model suitable for studying blood-to-brain drug permeability with a characterized quantitative abundance of transport and junction proteins, and drug permeability profiles, mimicking the human BBB. Our results indicate that this approach could be employed to generate patient-specific BMVEC cultures to evaluate BBB drug permeability and develop personalized therapeutic strategies.",0
"Tetracyclines are a class of broad-spectrum bacteriostatic antibiotics used to treat many infections, including methicillin-resistant Staphylococcus aureus (MRSA), acne, pelvic inflammatory disease, chlamydial infections, and a host of zoonotic infections. These drugs work by inhibiting protein synthesis in bacterial ribosomes, specifically by disallowing aminoacyl-tRNA molecules from binding to the ribosomal acceptor sites. While rare, tetracycline antibiotics, particularly minocycline and doxycycline, are associated with an increased risk of developing esophageal perforation and pseudotumor cerebri (PTC, or idiopathic intracranial hypertension). Since tetracyclines are a commonly prescribed class of medications, especially in adolescents for acne treatment, it is important for clinicians to appreciate significant side effects that can result in morbidity and mortality. This paper aims to consolidate and to emphasize current research on the association between tetracycline antibiotics and the development of esophageal perforation, and PTC. PTC is a neurological syndrome consisting of increased intracranial pressure, headache, and vision changes without evidence of the contributing source, such as mass lesion, infection, stroke, or malignancy. Esophageal perforation, while rare, can be the result of pill esophagitis. Pill-induced injuries occur when caustic medicinal pills dissolve in the esophagus rather than in the stomach. Most patients experience only self-limited pain (retrosternal burning discomfort, heartburn, dysphagia, or odynophagia), but hemorrhage, stricture, and perforation may occur. Tetracycline use can lead to pill esophagitis. In summary, clinicians should appreciate the potential risks of tetracycline compounds in clinical practice.",1
"To develop an algorithm to identify pregnancy episodes in women at childbearing age using SIDIAP (Information System for the Improvement of Research in Primary Care) data (Catalunya, Spain).To describe drugs dispensed during gestation.",1
"Pickering emulsions represent a promising avenue in the field of controlled drug delivery systems. Recently, cellulose nanofibers (CNFs) and chitosan nanofibers (ChNFs) have gained interest as eco-friendly stabilizers for Pickering emulsions, yet their application in pH-responsive drug delivery systems remains unexplored. However, the potential of these biopolymer complexes in formulating stable, pH-responsive emulsions for controlled drug release is of significant interest. Here, we show the development of a highly stable, pH-responsive fish oil-in-water Pickering emulsion stabilized by ChNF/CNF complexes, with optimal stability achieved at a 0.2 wt% ChNF concentration and an average emulsion particle size of approximately 4 μm. Our results demonstrate long-term stability (16 days of storage) for ChNF/CNF-stabilized emulsions, with the interfacial membrane's pH modulation facilitating controlled, sustained ibuprofen (IBU) release. Furthermore, we observed a remarkable release of approximately 95 % of the embedded IBU within the pH range of 5-9, while the drug loading and encapsulation efficiency of the drug-loaded microspheres reached their peak at a 1 % IBU dosage, with values of 1 % and 87 %, respectively. This study highlights the potential of using ChNF/CNF complexes in designing versatile, stable, and entirely renewable Pickering systems for controlled drug delivery, with potential applications in food and eco-friendly products.",0
"Multimodal combined therapy (MCT) is an emerging avenue to eliminate tumor cells by the synergistic effect of various therapeutic methods. However, the complex tumor microenvironment (TME) is becoming the key barrier to the therapeutic effect of MCT due to the excessive existence of H<sup>+</sup> ions, H<sub>2</sub>O<sub>2</sub>, and glutathione (GSH), the lack of O<sub>2</sub>, and the relaxation of ferroptosis. To overcome these limitations, smart nanohybrid gels with excellent biocompatibility, stability and targeting function were prepared by using gold nanoclusters as cores and an in situ cross-linking composite gel of sodium alginate (SA)/hyaluronic acid (HA) as the shell. The obtained Au NCs-Cu<sup>2+</sup>@SA-HA core-shell nanohybrid gels possessed near-infrared light response synergistically benefitting photothermal imaging guided photothermal therapy (PTT) and photodynamic therapy (PDT). Meanwhile, the H<sup>+</sup>-triggered release of Cu<sup>2+</sup> ions from the nanohybrid gels not only induces cuproptosis to avoid the relaxation of ferroptosis, but also catalyzes H<sub>2</sub>O<sub>2</sub> in the TME to generate O<sub>2</sub> to simultaneously improve the hypoxic microenvironment and PDT effect. Furthermore, the released Cu<sup>2+</sup> ions could consume the excessive GSH to form Cu<sup>+</sup> ions effectively, which caused the formation of hydroxyl free radicals (·OH) to kill tumor cells, synergistically realizing GSH consumption-enhanced PDT and chemodynamic therapy (CDT). Hence, the novel design in our work provides another research avenue for cuproptosis-enhanced PTT/PDT/CDT via TME modulation.",0
"Standards of care for pregnant persons with opioid use disorder (OUD) have been published across multiple institutions specializing in obstetrics and addiction medicine. Yet, this population faces serious barriers in accessing medications for OUD (MOUD) while incarcerated. Therefore, we examined the availability of MOUD in jails.",1
"This work aimed to investigate Sinapis pubescens subsp. pubescens spontaneously grown in Sicily (Italy) as new potential source of active metabolites; specifically, a comparative study on leaf, flower, and stem hydroalcoholic extracts was performed. Polyphenols were quantitatively determined by spectrophotometric methods and characterized by HPLC-PDA/ESI-MS; a total of 55 polyphenolic compounds were identified, highlighting considerably different qualitative-quantitative profiles. The extracts showed antioxidant activity, evaluated by in vitro assays; particularly, the leaf extract displayed the best radical scavenging activity (DPPH test) and reducing power, while the flower extract showed the greatest chelating activity. The antimicrobial properties of the extracts were investigated against bacteria and yeasts by standard methods; no antimicrobial activity was found against the strains tested. The extracts resulted to be non-toxic after preliminary toxicity evaluation by the Artemia salina lethality bioassay. The aerial parts of S. pubescens subsp. pubescens proved to be valuable sources of antioxidants for pharmaceutical and nutraceutical applications.",0
"The frequency and severity of abdominal pain after endoscopic mucosal resection (EMR) of colonic laterally spreading lesions (LSLs) of ≥ 20 mm is unknown, as are the risk factors to predict its occurrence. We aimed to prospectively characterize pain after colonic EMR , determine the rapidity and frequency of its resolution after analgesia, and estimate the frequency of needing further intervention.",1
"<i>Ocimum</i> is considered the largest genus in the Lamiacea family. The genus includes basil, a group of aromatic plants with a wide range of culinary uses that nowadays draws attention for its medicinal and pharmaceutical potential. This systematic review intends to explore the chemical composition of nonessential oils and their variation across different <i>Ocimum</i> species. Moreover, we aimed to identify the state of knowledge regarding the molecular space in this genus as well as the different methods of extraction/identification and geographical location. Seventy-nine eligible articles were selected for the final analysis, from which we extracted more than 300 molecules. We found that the countries with the highest number of studies into <i>Ocimum</i> species are India, Nigeria, Brazil, and Egypt. However, from all known species of <i>Ocimum</i>, only 12 were found to have an extensive chemical characterization, particularly <i>Ocimum basilicum and Ocimum tenuiflorum</i>. Our study focused especially on alcoholic, hydroalcoholic, and water extracts, in which the main techniques for compound identifications are GC-MS, LC-MS, and LC-UV. Across the compiled molecules, we found a wide variety of compounds, especially flavonoids, phenolic acids, and terpenoids, suggesting that this genus could be a very useful source of possible bioactive compounds. The information collected in this review also emphasizes the huge gap between the vast number of <i>Ocimum</i> species discovered and the number of studies in each of them that determined the chemical characterization.",0
"Non-traumatic acute subdural hematoma (SDH) in patients with scleroderma is infrequently described in literature reviewing the neurologic disorders in scleroderma. We report a case of a patient with scleroderma complicated by severe pulmonary arterial hypertension (PAH), and a history of pulmonary embolism on warfarin who developed an SDH, requiring hemicraniectomy after initiating therapy with IV epoprostenol. The proposed mechanisms for SDH development and management strategy are discussed.",1
"Heart failure remains one of the most prevalent clinical syndromes associated with significant morbidity and mortality. According to current guidelines, the prescription of a MRA is recommended to reduce the risk of HF hospitalization and death in all patients with symptomatic heart failure and no contraindications for this therapy.",1
"A strategy to enhance the peroxidase-like activity of the hemin composite is presented. The Cu-Salt-Fe with enhanced activity was synthesized by one-step heat treatment and applied to the colorimetric determination of free cholesterol in human serum. Phosphate can act in complexing Cu<sup>2+</sup> to form a carrier Cu-Floc with a large specific surface area. The coordination effect of Cu-Floc with hemin was used to disperse and load hemin to form Cu-Floc-Hemin from which Cu-Salt-Fe was prepared. The Cu-Salt-Fe exhibits a synergistic catalytic effect of Cu-Salt, Fe<sup>2+</sup>, Fe<sup>3+</sup>, or Fe-Nx active sites in amplification of H<sub>2</sub>O<sub>2</sub> oxidation. As expected, Cu-Salt-Fe triggered H<sub>2</sub>O<sub>2</sub>-mediated oxidation of 3,3',5,5'-tetramethylbenzidine (TMB), resulting in H<sub>2</sub>O<sub>2</sub>-dependent absorbance changes at 652 nm. A cholesterol oxidase (ChOx)/Cu-Salt-Fe-TMB colorimetric sensing system exhibited excellent cholesterol determination performance in the range 5-1200 μM with a detection limit of 2.73 μM. Cholesterol recoveries from the three-level spiked serum ranged from 92.2 to 98.9% (RSD ≤ 5.4). This colorimetric sensing system not only provided a strategy for the determination of endogenous substances with H<sub>2</sub>O<sub>2</sub> as an intermediate, but also provided a new design idea (carrier selection, activity enhancement method) for the development of other artificial enzymes with the same catalytic core.",0
"Metformin is an oral agent used for the management of type 2 diabetes. As a result of its ability to alter cellular metabolic requirements, metformin also possesses antiproliferative properties. Metformin has been shown to reduce mutagenesis in several malignancies, however has never been described as a treatment option for recurrent respiratory papillomatosis (RRP). The aim of this study is to present a case series of non-diabetic patients with adult-onset RRP who were treated with metformin.",1
"Long non-coding RNAs (lncRNAs) have been shown to play a critical role in the damage caused to the body by environmental exogenous chemicals; however, few studies have explored their effects during exposure to benzene and its metabolite, hydroquinone (HQ). An emerging lncRNA, LINC01480, was found to be associated with the immune microenvironment of some cancers, but its specific function remains unknown. Therefore, this study aimed to investigate the role of LINC01480 in HQ-induced apoptosis. The biological function of LINC01480 was investigated through gain-of-function and loss-of-function experiments. Mechanically, nuclear-cytoplasmic fractionation experiment, chromatin immunoprecipitation (ChIP), dual-luciferase reporter assay, and rescue experiments were performed. In this study, when TK6 cells were treated with HQ (0, 5, 10, and 20 μM) for 12, 24, 48, and 72 h, the expression of LINC01480 was increased in a dose-dependent manner. Meanwhile, the phosphorylation levels of PI3K and AKT decreased, and apoptosis increased. As compared to the control group, HQ-induced apoptosis was significantly reduced, and the relative survival rate of TK6 cells increased after silencing LINC01480, while overexpression of LINC01480 further sensitized TK6 cells to HQ-induced apoptotic cell death. LINC01480 negatively regulated the PI3K/AKT pathway in TK6 cells, and the apoptosis-inhibiting effect of LINC01480 silencing was reversed after inhibition of the PI3K/AKT pathway. In addition, ChIP and the dual-luciferase reporter assays showed that the transcription factor Foxo3a promoted LINC01480 transcription by directly binding to the promoter regions - 149 to - 138 of LINC01480. Moreover, short-term HQ exposure promoted the expression of Foxo3a. From these findings, we can conclude that LINC01480 is activated by Foxo3a, and promotes HQ-induced apoptosis by inhibiting the PI3K/AKT pathway, suggesting that LINC01480 might become a possible target for therapeutic intervention of HQ-induced toxicity.",0
"Elderly patients with nonvalvular atrial fibrillation (NVAF) might have a higher risk of intracerebral hemorrhage. To investigate this, we compared the incidence of intracranial hemorrhage (ICH) and its subtypes, as well as ischemic stroke, in patients taking direct oral anticoagulants (DOACs) compared with warfarin in a real-world setting. We also determined the baseline characteristics associated with both ICH and ischemic stroke.",1
"Molecular design, synthesis, in vitro and in vivo studies of novel derivatives of indole-3-carboxylic acid new series of angiotensin II receptor 1 antagonists is presented. Radioligand binding studies using [<sup>125</sup>I]-angiotensin II displayed that new derivatives of indole-3-carboxylic acid have a high nanomolar affinity for the angiotensin II receptor (AT<sub>1</sub> subtype) on a par with the known pharmaceuticals such as losartan. Biological studies of synthesized compounds in spontaneously hypertensive rats have demonstrated that compounds can lower blood pressure when administered orally. Maximum the decrease in blood pressure was 48 mm Hg with oral administration of 10 mg/kg and antihypertensive effect was observed for 24 h, which is superior to losartan.",0
The aim of this study was to examine the relationship between dietary intake of folate and niacin and diabetes risk in Chinese adults.,1
"Moxifloxacin and gemifloxacin are the two newer broad-spectrum 8-methoxy-quinolone derivatives that are used to treat various bacterial infections in cardiac patients. In this research study, we assessed the impact of moxifloxacin and gemifloxacin on the QT intervals of electrocardiograms in normal adult doses and draw a comparison, in a controlled environment, on healthy volunteers. Additionally, the effect of both test drugs on the QRS complex was checked. Sixty healthy volunteers were randomly assigned to two groups via R-software, and each respectively received moxifloxacin and gemifloxacin for five days. The research ethics committee approved the research, and it was registered for clinical trial under NCT04692623. The participants' electrocardiograms were obtained before the start of the dose (baseline) and on the fifth day. Significant prolongation of QT interval was noted in moxifloxacin (<i>p</i> < 0.0001) as compared to gemifloxacin treated groups. There were no cases of QTc prolongation over the usual limits (450-470 ms) in the gemifloxacin-treated group, however, QTc prolongations at the rate of 30 and 60 ms from the baseline were noted, interpreted as per the EMEA guidelines. These findings indicate that moxifloxacin caused significant (<i>p</i> < 0.0001) QT interval prolongation (QTIP) as compared to gemifloxacin. In contrast to the previously reported literature, the prominent effect of moxifloxacin on the widening of the QRS-complex was noted with no such effect on QRS-widening in the gemifloxacin-treated group. It is concluded that both drugs have the potential for considerable QT interval prolongation (QTIP) effects, which is one of the risk factors for developing torsade de pointes (TdPs) in cardiac patients. Thus, clinicians should exercise caution when prescribing moxifloxacin and gemifloxacin to cardiac patients and should consider alternate treatment options.",1
"The authors evaluated the efficacy, safety, and characteristics of patients who respond well to standard dose triple combination therapy including chlorthalidone 25 mg with telmisartan 80 mg plus amlodipine 5 mg in hypertensive patients. This is a multicenter, double-blind, active-controlled, phase 3, randomized trial. Patients are randomized to triple combination (telmisartan 40 mg/amlodipine 5 mg/chlorthalidone 12.5 mg, TEL/AML/CHTD group) or dual combination (telmisartan 40 mg/amlodipine 5 mg, TEL/AML group) treatment and then dose up titration to TEL 80/AML5/CHTD25mg and TEL80/AML5, respectively. The primary endpoint is the change of mean sitting systolic blood pressure (MSSBP) at week 8. A Target BP achievement rate, a response rate, and the safety endpoints are also evaluated. Total 374 patients (mean age = 60.9 ± 10.7 years, male = 78.3%) were randomized to the study. The baseline MSSBPs/diastolic BPs were 149.9 ± 12.2/88.5 ± 10.4 mm Hg. After 8 weeks treatment, the change of MSSBPs at week 8 are -19.1 ± 14.9 mm Hg (TEL/AML/CHTD) and -11.4 ± 14.7 mm Hg (TEL/AML) (p < .0001). The achievement rates of target BP (53.8% vs. 37.8%, p = .0017) and responder rate (54.8% vs. 35.6%, p = .0001) at week 8 were significantly higher in TEL/AML/CHTD. There are no serious adverse event and no one discontinued medication due to adverse event. Among the TEL 80/AML5/CHTD25mg treatment group, patients of female or age ≥ 65 years old showed higher rate of target BP achievement than relatively young male. (61.4 vs. 46.8%, p = .042) Our study showed standard dose triple combination of telmisartan 80 mg/amlodipine 5 mg/chlorthalidone 25 mg is efficacious and safe in treatment of primary hypertension. Target BP achievement with triple therapy would be facilitated in female or old age.",1
"The current study was conducted around the province of Haldwani City, Uttarakhand, India, to understand the seasonal variation of ambient air pollutants (PM<sub>2.5,</sub> PM<sub>10</sub>, SO<sub>2</sub>, and NO<sub>2</sub>) and their impact on four tree species, i.e., neem (Azadirachta indica), mountain cedar (Toona ciliate), bottlebrush (Callistemon citrinus), and guava (Psidium guajava) during 2020-2021. Multiple linear regression (MLR)-based prediction analysis showed that the selected air quality variables (PM<sub>2.5</sub>, PM<sub>10</sub>, SO<sub>2</sub>, and NO<sub>2</sub>) had a significant impact on the biochemical responses of selected tree spp. including, pH, ascorbic acid (AA), total chlorophyll content (T. Chl.), relative water content (RWC), and dust deposition potential. In this, the coefficient of variance (R<sup>2</sup>) of the developed models was in the range of 0.70-0.98. The ambient air pollutants showed significant seasonal variations as depicted by using the air pollution tolerance index (APTI) and anticipated performance index (API). The tree species from polluted sites observed more pollution tolerance than the tree species from the control site. Regression analysis showed a significant positive association between the biochemical characteristics and APTI, with the highest influence by AA (R<sup>2</sup> = 0.961) followed by T. Chl., RWC, and pH. The APTI and API score was observed as maximum for A. indica and minimum for C. citrinus. The impact of air pollutants on the morphology of foliar surface was investigated by the scanning electron microscopy (SEM) and recorded various dust deposition patterns, stomatal blockages, and damage of guard cells in the trees growing along the polluted site (S2). The present study can assist environmental managers to examine the pollution-induced variables and develop an effective green belt for combating air pollution in polluted areas.",0
"Staphylococcus aureus is a pathogenic bacterium with a widespread distribution that can cause diverse severe diseases. The membrane-bound nitrate reductase NarGHJI serves respiratory function. However, little is known about its contribution to virulence. In this study, we demonstrated that <i>narGHJI</i> disruption results in the downregulation of virulence genes (e.g., <i>RNAIII</i>, <i>agrBDCA</i>, <i>hla</i>, <i>psmα</i>, and <i>psmβ</i>) and reduces the hemolytic activity of the methicillin-resistant S. aureus (MRSA) strain USA300 LAC. Moreover, we provided evidence that NarGHJI participates in regulating host inflammatory response. A mouse model of subcutaneous abscess and Galleria mellonella survival assay demonstrated that the <i>ΔnarG</i> mutant was significantly less virulent than the wild type. Interestingly, NarGHJI contributes to virulence in an <i>agr</i>-dependent manner, and the role of NarGHJI differs between different S. aureus strains. Our study highlights the novel role of NarGHJI in regulating virulence, thereby providing a new theoretical reference for the prevention and control of S. aureus infection. <b>IMPORTANCE</b> Staphylococcus aureus is a notorious pathogen that poses a great threat to human health. The emergence of drug-resistant strains has significantly increased the difficulty of preventing and treating S. aureus infection and enhanced the pathogenic ability of the bacterium. This indicates the importance of identifying novel pathogenic factors and revealing the regulatory mechanisms through which they regulate virulence. The nitrate reductase NarGHJI is mainly involved in bacterial respiration and denitrification, which can enhance bacterial survival. We demonstrated that <i>narGHJI</i> disruption results in the downregulation of the <i>agr</i> system and <i>agr</i>-dependent virulence genes, suggesting that NarGHJI participates in the regulation of S. aureus virulence in an <i>agr</i>-dependent manner. Moreover, the regulatory approach is strain specific. This study provides a new theoretical reference for the prevention and control of S. aureus infection and reveals new targets for the development of therapeutic drugs.",0
"Orlistat, an FDA-approved fatty acid inhibitor for obesity treatment, demonstrates certain low and greatly varied anticancer abilities. In a previous study, we revealed a synergistic effect between orlistat and dopamine in cancer treatment. Here, orlistat-dopamine conjugates (ODCs) with defined chemical structures were synthesized. The ODC by design underwent polymerization and self-assembly in the presence of oxygen to form nano-sized particles (Nano-ODCs) spontaneously. The resulted Nano-ODCs of partial crystalline structures demonstrated good water dispersion to form stable Nano-ODC suspensions. Because of the bioadhesive property of the catechol moieties, once administered, Nano-ODCs were quickly accumulated on cell surfaces and efficiently uptaken by cancer cells. In the cytoplasm, Nano-ODC experienced biphasic dissolution followed by spontaneous hydrolysis to release intact orlistat and dopamine. Besides elevated levels of intracellular reactive oxygen species (ROS), the co-localized dopamine also induced mitochondrial dysfunctions through monoamine oxidases (MAOs)-catalyzed dopamine oxidation. The strong synergistic effects between orlistat and dopamine determined a good cytotoxicity activity and a unique cell lysis mechanism, explaining the distinguished activity of Nano-ODC to drug-sensitive and -resistant cancer cells. This new technology-enabled orlistat repurposing will contribute to overcoming drug resistance and the improvement of cancer chemotherapy.",0
